"linear_acceleration.y_x","linear_acceleration.y_y","linear_acceleration.x_x","linear_acceleration.x_y","linear_acceleration.z_x","linear_acceleration.z_y"
0,0.2549729,0,0.4314926,0,9.73800345,
59.90339609,0.20593965,59.90339609,0.40207265,59.90339609,9.71839015,
119.6713106,0.1765197,119.6713106,0.392266,119.6713106,9.73800345,
179.3652335,0.1372931,179.3652335,0.3726527,179.3652335,9.7674234,
239.2368035,0.12748645,239.2368035,0.36284605,239.2368035,9.7281968,
298.9457599,0.10787315,298.9457599,0.3530394,298.9457599,9.73800345,
358.6829005,0.12748645,358.6829005,0.3334261,358.6829005,9.7478101,
418.369665,0.0980665,418.369665,0.3334261,418.369665,9.77723005,
478.1964828,0.08825985,478.1964828,0.34323275,478.1964828,9.7674234,
538.0947277,0.0784532,538.0947277,0.2941995,538.0947277,9.7478101,
597.9719233,0.0980665,597.9719233,0.30400615,597.9719233,9.7478101,
657.6878479,0.10787315,657.6878479,0.30400615,657.6878479,9.7674234,
717.3670095,0.0588399,717.3670095,0.2941995,717.3670095,9.77723005,
777.2239604,0.06864655,777.2239604,0.30400615,777.2239604,9.75761675,
837.0218525,0.10787315,837.0218525,0.2745862,837.0218525,9.7674234,
896.7584015,0.06864655,896.7584015,0.28439285,896.7584015,9.75761675,
956.4961119,0.04903325,956.4961119,0.2941995,956.4961119,9.75761675,
1016.431724,0.06864655,1016.431724,0.2745862,1016.431724,9.75761675,
1076.210087,0.0588399,1076.210087,0.26477955,1076.210087,9.77723005,
1136.127762,0.06864655,1136.127762,0.2549729,1136.127762,9.75761675,
1196.004988,0.06864655,1196.004988,0.26477955,1196.004988,9.77723005,
1255.782715,0.0588399,1255.782715,0.24516625,1255.782715,9.75761675,
1315.682735,0.06864655,1315.682735,0.2549729,1315.682735,9.7674234,
1375.49811,0.0588399,1375.49811,0.2549729,1375.49811,9.7870367,
1435.216072,0.06864655,1435.216072,0.22555295,1435.216072,9.7674234,
1494.959729,0.08825985,1494.959729,0.24516625,1494.959729,9.7870367,
1554.667077,0.0980665,1554.667077,0.2157463,1554.667077,9.75761675,
1614.44336,0.08825985,1614.44336,0.22555295,1614.44336,9.77723005,
1674.34031,0.04903325,1674.34031,0.24516625,1674.34031,9.7870367,
1734.199494,0.10787315,1734.199494,0.22555295,1734.199494,9.77723005,
1794.122978,0.12748645,1794.122978,0.2353596,1794.122978,9.77723005,
1853.89458,0.0980665,1853.89458,0.2157463,1853.89458,9.7870367,
1913.572153,0.08825985,1913.572153,0.22555295,1913.572153,9.79684335,
1973.468829,0.1176798,1973.468829,0.2157463,1973.468829,9.77723005,
2033.304881,0.12748645,2033.304881,0.22555295,2033.304881,9.7870367,
2093.104834,0.10787315,2093.104834,0.196133,2093.104834,9.77723005,
2152.961467,0.0980665,2152.961467,0.20593965,2152.961467,9.7870367,
2212.820216,0.1372931,2212.820216,0.2157463,2212.820216,9.77723005,
2272.577838,0.1176798,2272.577838,0.2157463,2272.577838,9.77723005,
2332.477666,0.12748645,2332.477666,0.2157463,2332.477666,9.79684335,
2392.210935,0.0980665,2392.210935,0.18632635,2392.210935,9.77723005,
2452.130017,0.1176798,2452.130017,0.2157463,2452.130017,9.77723005,
2511.855393,0.1176798,2511.855393,0.196133,2511.855393,9.7870367,
2571.723317,0.1372931,2571.723317,0.2157463,2571.723317,9.7870367,
2631.545583,0.1176798,2631.545583,0.20593965,2631.545583,9.7870367,
2691.357735,0.1176798,2691.357735,0.20593965,2691.357735,9.80665,
2751.283125,0.1372931,2751.283125,0.22555295,2751.283125,9.79684335,
2810.988316,0.1176798,2810.988316,0.20593965,2810.988316,9.79684335,
2870.689532,0.10787315,2870.689532,0.20593965,2870.689532,9.80665,
2930.62712,0.0980665,2930.62712,0.2157463,2930.62712,9.7674234,
2990.505022,0.1176798,2990.505022,0.2157463,2990.505022,9.79684335,
3050.404477,0.0784532,3050.404477,0.20593965,3050.404477,9.80665,
3110.298804,0.12748645,3110.298804,0.20593965,3110.298804,9.7870367,
3170.135823,0.0980665,3170.135823,0.196133,3170.135823,9.79684335,
3229.838592,0.1372931,3229.838592,0.20593965,3229.838592,9.80665,
